cycle,scenario,iRsn,iDataEn,iData,iDelay,oDataEn,oData
0,S1 Reset,0,0,0000,3,0,0000
1,S1 Reset,0,0,0000,3,0,0000
2,S1 Reset,0,0,0000,3,0,0000
3,S1 Release,1,0,0000,3,0,0000
4,S1 Release,1,0,0000,3,0,0000
5,S2 Continuous,1,1,1001,3,0,0000
6,S2 Continuous,1,1,1002,3,0,0000
7,S2 Continuous,1,1,1003,3,1,1001
8,S2 Continuous,1,1,1004,3,1,1002
9,S2 Continuous,1,1,1005,3,1,1003
10,S2 Continuous,1,1,1006,3,1,1004
11,S2 Drain,1,0,0000,3,1,1005
12,S2 Drain,1,0,0000,3,1,1006
13,S2 Drain,1,0,0000,3,0,0000
14,S2 Drain,1,0,0000,3,0,0000
15,S3 Delay=2,1,1,2001,2,0,0000
16,S3 Delay=2,1,1,2002,2,1,2001
17,S3 Delay=2,1,1,2003,2,1,2002
18,S3 Delay=2,1,1,2004,2,1,2003
19,S3 Delay=5,1,1,3001,5,1,2001
20,S3 Delay=5,1,1,3002,5,1,2002
21,S3 Delay=5,1,1,3003,5,1,2003
22,S3 Delay=5,1,1,3004,5,1,2004
23,S3 Drain,1,0,0000,5,1,3001
24,S3 Drain,1,0,0000,5,1,3002
25,S3 Drain,1,0,0000,5,1,3003
26,S3 Drain,1,0,0000,5,1,3004
27,S3 Drain,1,0,0000,5,0,0000
28,S3 Drain,1,0,0000,5,0,0000
