scenario,cycle,delay,write_ptr,read_addr,iDataEn,iData,oDataEn,oData
1,1,3,0,7,1,10,0,0
1,2,3,1,8,1,20,0,0
1,3,3,2,9,1,30,0,0
1,4,3,3,0,1,40,1,10
1,5,3,4,1,1,50,1,20
1,6,3,5,2,0,0,1,30
1,7,3,6,3,0,0,1,40
1,8,3,7,4,0,0,1,50
2,1,5,0,5,0,1,0,0
2,2,5,1,6,0,2,0,0
2,3,5,2,7,1,3,0,0
2,4,5,3,8,1,4,0,0
2,5,5,4,9,0,5,0,0
2,6,5,5,0,1,6,0,0
2,7,5,6,1,0,7,0,0
2,8,5,7,2,0,8,1,3
2,9,5,8,3,1,9,1,4
2,10,5,9,4,0,0,0,4
2,11,5,0,5,0,0,1,6
2,12,5,1,6,0,0,0,6
2,13,5,2,7,0,0,0,6
2,14,5,3,8,0,0,1,9
3,1,3,0,7,1,101,0,0
3,2,3,1,8,1,102,0,0
3,3,3,2,9,1,103,0,0
3,4,3,3,0,1,104,1,101
3,5,3,4,1,1,105,1,102
3,6,3,5,2,1,106,1,103
3,7,5,6,1,1,107,1,102
3,8,5,7,2,1,108,1,103
3,9,5,8,3,1,109,1,104
3,10,5,9,4,1,110,1,105
3,11,5,0,5,1,111,1,106
3,12,5,1,6,1,112,1,107
3,13,5,2,7,0,0,1,108
3,14,5,3,8,0,0,1,109
3,15,5,4,9,0,0,1,110
3,16,5,5,0,0,0,1,111
3,17,5,6,1,0,0,1,112
